engineer_id,engineer_name,constructor,years_with_driver,years_of_f1_entry
1,Alex Chan,Alfa Romeo-Ferrari,2022,2012
2,Jorn Becker,Alfa Romeo-Ferrari,2022,2021
3,Mattia Spini,Alpha Tauri-Honda RBPT,2021,2011
4,Pierre Hamelin,Alpha Tauri-Honda RBPT,2023,2010
5,Karel Loos,Alpine-Renault,2017,2010
6,Josh Peckett,Alpine-Renault,2021,2020
7,Chris Cronin,Aston Martin Aramco-Mercedes,2023,NULL
8,Ben Michell,Aston Martin Aramco-Mercedes,2021,2013
9,Xavier Marcos Padros,Ferrari,2019,2010
10,Riccardo Adami,Ferrari,2021,2002
11,Mark Slade,Haas-Ferrari,2022,1993
12,Gary Gannon,Haas-Ferrari,2023,2011
13,William Joseph,McLaren-Mercedes,2019,2010
14,Tom Stallard,McLaren-Mercedes,2023,2008
15,Peter Bonnington,Mercedes,2013,2004
16,Marcus Dudley,Mercedes,2023,2006
17,Hugh Bird,Red Bull Racing-Honda RBPT,2021,2012
18,Gianpiero Lambiase,Red Bull Racing-Honda RBPT,2017,2005
19,James Urwin,Williams-Mercedes,2022,2014
20,Logan Sargeant,Williams-Mercedes,2023,2019
